Temperature,Light,CO2,HumidityRatio,TimeSpan,WeekSpan,Occupancy
0.8690292758089417,0.6039644195602114,0.2082314714528856,0.5497366130393426,AF,WD,1
0.8723574730354442,0.5969463777744809,0.2151632368868946,0.5519718108436731,AF,WD,1
0.8745762711864455,0.5910292052884732,0.22089844757336646,0.5499968860241855,AF,WD,1
0.8731895223420696,0.5095820781918222,0.22404456134921855,0.5443735731070387,AF,WD,1
0.8790138674884491,0.5042669436041,0.22667491876837376,0.5503760261136967,AF,WD,1
0.8801232665639493,0.5869009454145142,0.23348290267677546,0.5537265817502439,AF,WD,1
0.8745762711864455,0.5535308447666778,0.2384341637010676,0.5528859204010481,AF,WD,1
0.8790138674884491,0.5253210689612912,0.23781525607303106,0.5547159003243625,AF,WD,1
0.8790138674884491,0.4912629250011289,0.24165248336685746,0.5576092767422853,AF,WD,1
0.8756856702619467,0.5263531339297809,0.2452421476094692,0.5581602437073874,AF,WD,1
0.8773497688751974,0.4969392823278226,0.24911032028469746,0.5615000359078122,AF,WD,1
0.8690292758089417,0.4972489018183695,0.2545257620300169,0.5635798316689868,AF,WD,1
0.8690292758089417,0.4904888762747616,0.25947702305430914,0.5655026847982576,AF,WD,1
0.8690292758089417,0.4840384702217005,0.26772912476146243,0.5703100138541668,AF,WD,1
0.8690292758089417,0.4788781453792517,0.27210273866625395,0.5738676178448479,AF,WD,1
0.8690292758089417,0.4788781453792517,0.27742534426736803,0.5794447114506739,AF,WD,1
0.8690292758089417,0.4695895606628438,0.2891845892000618,0.5834114084775617,AF,WD,1
0.8505392912172627,0.468557495694354,0.29599257310846355,0.5716813485526864,AF,WD,1
0.8579352850539341,0.472685755568313,0.3000773634535045,0.5789015452733286,AF,WD,1
0.8597842835131018,0.4788781453792517,0.30187219557481043,0.5832275052757281,AF,WD,1
0.8579352850539341,0.4881667300956596,0.3070091288875135,0.5848421390761067,AF,WD,1
0.8505392912172627,0.4788781453792517,0.3127030790654494,0.5845847936034212,AF,WD,1
0.8505392912172627,0.5143811802952997,0.31715921398731234,0.5882172386998665,AF,WD,1
0.8505392912172627,0.5472008462932743,0.3197586260250657,0.5907982837879129,AF,WD,1
0.8505392912172627,0.5507098671861395,0.3240909794213213,0.5927102211326136,AF,WD,1
0.8505392912172627,0.5410600597307601,0.332508123162618,0.5931882123964289,AF,WD,1
0.8551617873651822,0.5146563976202306,0.3393161070710196,0.5976714295498049,AF,WD,1
0.8505392912172627,0.5328895453968825,0.34055392232709264,0.5955782102825633,AF,WD,1
0.8505392912172627,0.517270962207071,0.33783072876373194,0.5966298313003897,AF,WD,1
0.8505392912172627,0.5387379135516581,0.3419980401258443,0.6008364495041281,AF,WD,1
0.8505392912172627,0.5371898160989235,0.3506111712826861,0.6020315506404126,AF,WD,1
0.8505392912172627,0.5214876847926146,0.3501027828739414,0.6056169579839226,AF,WD,1
0.8505392912172627,0.503991726279169,0.3529320748878229,0.6056169579839226,AF,WD,1
0.8505392912172627,0.5284172638667605,0.3588735881169735,0.6027486196368095,AF,WD,1
0.8505392912172627,0.5273851988982707,0.3617205632059416,0.6056169579839226,AF,WD,1
0.8536209553158813,0.5175805816976179,0.3631440507504255,0.6085377917822972,AF,WD,1
0.8628659476117213,0.5198167224626794,0.36407241219248027,0.6157269703219189,AF,WD,1
