NDay,Time,Temperature,Light,CO2,HumidityRatio,Occupancy,Weekday,Weekend,Day,Afternoon,Evening,Night
04,17:51:00,1.0,0.5725806451612904,0.190933003249265,0.5573184158324032,1,1,0,0,1,0,0
04,17:51:59,0.9928229665071768,0.5772849462365592,0.18644592294600026,0.5548072341757162,1,1,0,0,1,0,0
04,17:53:00,0.9928229665071768,0.5725806451612904,0.186136469131982,0.5537610627358176,1,1,0,0,1,0,0
04,17:54:00,0.9928229665071768,0.5725806451612904,0.1828872040847903,0.5516687596881114,1,1,0,0,1,0,0
04,17:55:00,0.9808612440191391,0.5725806451612904,0.18056630047965339,0.5478506832034216,1,1,0,0,1,0,0
04,17:55:59,0.9808612440191391,0.5631720430107527,0.1784001237815256,0.5478506832034216,1,1,0,0,1,0,0
04,17:57:00,0.9808612440191391,0.5631720430107527,0.17881272886688343,0.5478506832034216,1,1,0,0,1,0,0
04,17:57:59,0.9808612440191391,0.5631720430107527,0.17716230852545256,0.5478506832034216,1,1,0,0,1,0,0
04,17:58:59,0.9808612440191391,0.5631720430107527,0.17117953478776604,0.5478506832034216,1,1,0,0,1,0,0
04,18:00:00,0.9748803827751198,0.5631720430107527,0.17035432461705086,0.5447884628580126,1,1,0,0,0,1,0
04,18:01:00,0.9748803827751198,0.5631720430107527,0.171746866780133,0.5436314522715879,1,1,0,0,0,1,0
04,18:02:00,0.9808612440191391,0.5631720430107527,0.1722110475011604,0.5432155622928199,1,1,0,0,0,1,0
04,18:03:00,0.9808612440191391,0.5631720430107527,0.16756924029088655,0.5463056139386115,1,1,0,0,0,1,0
04,18:04:00,0.9688995215311005,0.5631720430107527,0.1700448708030326,0.5417323686990809,1,1,0,0,0,1,0
04,18:04:59,0.9569377990430628,0.5631720430107527,0.16911650936097783,0.5367901769599284,1,1,0,0,0,1,0
04,18:06:00,0.9569377990430628,0.5625,0.165712517406777,0.5367901769599284,1,1,0,0,0,1,0
04,18:07:00,0.9569377990430628,0.0,0.16633142503481352,0.5402452523221881,0,1,0,0,0,1,0
04,18:08:00,0.9437799043062203,0.0,0.16849760173294132,0.5402119588785412,0,1,0,0,0,1,0
04,18:08:59,0.9437799043062203,0.0,0.16849760173294132,0.544803633597654,0,1,0,0,0,1,0
04,18:10:00,0.9306220095693787,0.0,0.17097323224508737,0.5406209095933361,0,1,0,0,0,1,0
04,18:10:59,0.9306220095693787,0.0,0.17128268605910563,0.5406209095933361,0,1,0,0,0,1,0
04,18:11:59,0.9306220095693787,0.0,0.17097323224508737,0.5406209095933361,0,1,0,0,0,1,0
04,18:13:00,0.9306220095693787,0.0,0.1722110475011604,0.5431379124766722,0,1,0,0,0,1,0
04,18:14:00,0.9306220095693787,0.0,0.17035432461705086,0.545654992224019,0,1,0,0,0,1,0
04,18:15:00,0.9306220095693787,0.0,0.17128268605910563,0.545654992224019,0,1,0,0,0,1,0
04,18:16:00,0.9066985645933014,0.0,0.17097323224508737,0.5355491879618675,0,1,0,0,0,1,0
04,18:16:59,0.9066985645933014,0.0,0.16891020681829916,0.5380508283413334,0,1,0,0,0,1,0
04,18:17:59,0.9066985645933014,0.0,0.16973541698901434,0.5380508283413334,0,1,0,0,0,1,0
04,18:19:00,0.9066985645933014,0.0,0.17035432461705086,0.5380508283413334,0,1,0,0,0,1,0
04,18:20:00,0.8959330143540676,0.0,0.1592139873123936,0.534642298995549,0,1,0,0,0,1,0
04,18:21:00,0.8851674641148328,0.0,0.15838877714167843,0.5295834748824746,0,1,0,0,0,1,0
04,18:22:00,0.8851674641148328,0.0,0.1592139873123936,0.5312420279608177,0,1,0,0,0,1,0
04,18:23:00,0.8851674641148328,0.0,0.15735726442828402,0.5312420279608177,0,1,0,0,0,1,0
04,18:23:59,0.8771929824561484,0.0,0.15580999535819273,0.5254183531818548,0,1,0,0,0,1,0
04,18:24:59,0.8851674641148328,0.0,0.1592139873123936,0.535765524182108,0,1,0,0,0,1,0
